prompt,completion
Hi,welcome to The lux beauty saloon.  For an appointment: https://theeluxxbeauty.com/bookings
How many services do you have?,"Many services such as waxing, brows and lashes , facial , warts removal , laser treatment,IV therapy , body contouring , Nails. For an appointment: https://theeluxxbeauty.com/bookings"
Tell me details about waxing ? ,Experience Smooth Perfection with our Waxing Services. Our expert estheticians use gentle techniques and high-quality wax to provide you with a flawless and long-lasting hair removal experience.For an appointment: https://theeluxxbeauty.com/bookings
Tell me details about brows and lashes ? , Elevate Your Beauty with Stunning Brows & Lashes. Our experts specialize in creating perfectly shaped eyebrows and providing lash services that enhance your eyes’ allure. 
How to book an apointment ? , Go to the link: https://theeluxxbeauty.com/bookings
Tell me details about facial services ,"Rejuvenate Your Skin with Customized Facials. Experience personalized treatments that cleanse, nourish, and reveal a radiant glow, tailored to your unique skin needs.For an appointment: https://theeluxxbeauty.com/bookings"
Tell me details about warts removal,"Worried about your warts? Bid Farewell to Warts. Our specialized treatment safely and effectively removes warts, restoring smooth and blemish-free skin.For an appointment: https://theeluxxbeauty.com/bookings"
Please book an appointment for me,Go to the link: https://theeluxxbeauty.com/bookings
Book an appointment,Go to the link: https://theeluxxbeauty.com/bookings
I need an help,Tell me . For an appointment: https://theeluxxbeauty.com/bookings
what are the waxing prices ?,"ARMS ( ₱ 400 ),BACK ( ₱ 650 ),BIKINI ( ₱ 450 ),CHEST ( ₱ 450 ),ARMPIT ( ₱ 250 ),HALF LEG ( ₱ 450 ),FULL LEG ( ₱ 750 ),BRAZILIAN ( ₱ 750 )"
Prices of waxing,"ARMS ( ₱ 400 ),BACK ( ₱ 650 ),BIKINI ( ₱ 450 ),CHEST ( ₱ 450 ),ARMPIT ( ₱ 250 ),HALF LEG ( ₱ 450 ),FULL LEG ( ₱ 750 ),BRAZILIAN ( ₱ 750 )"
Prices of brows and lashes,"LASH LIFT ( ₱ 450 ),BROW LAMINATION ( ₱ 550 ),LASH LIFT WITH TINT ( ₱ 550 ),EYELASH EXTENTION( SOON ),OMBRE POWDER BROWS ( SOON ),BROW LAMINATION WITH TINT ( ₱ 650 )"
Prices of facial services,"BASIC FACIAL ( ₱ 500 ),THE LUXX FACIAL ( ₱ 1000 ),CLEAR THAT SKIN ( ₱ 800 ),WRINKLE NO MORE ( ₱ 1000 ),BRIGHTEN ME UP ( ₱ 250 ),DIAMOND PEEL ( ₱ 800 ),HYDRA FACIAL (SOON ),OXYZENEO ( SOON )"
Prices of warts removal,"FACE ( ₱ 500 ).NECK ( ₱ 800 ),BODY ( ₱ 1500 - 2000 )"
waxing,"ARMS ( ₱ 400 ),BACK ( ₱ 650 ),BIKINI ( ₱ 450 ),CHEST ( ₱ 450 ),ARMPIT ( ₱ 250 ),HALF LEG ( ₱ 450 ),FULL LEG ( ₱ 750 ),BRAZILIAN ( ₱ 750 )"
How can I contact with you ?,"Please email at info@theeluxxbeauty.com
 "
what is your adress ? ,"AMC Bldg. Malvar St. 7100 Dipolog City, Philippines"
